transaction_id,transaction_time,transaction_amount,merchant,customer_age,customer_region,is_fraud
1,05-01-2026 02:49,936.29,Grocery,31,West,0
2,08-02-2026 05:51,4261.67,Fuel,58,East,0
3,25-01-2026 21:50,298.94,Food,31,East,0
4,15-01-2026 00:24,4339.43,Food,55,West,0
5,24-01-2026 17:17,2531.82,Food,25,North,0
6,20-12-2025 21:32,3130.82,Grocery,63,West,0
7,14-01-2026 11:31,3072.72,Electronics,44,East,0
8,07-01-2026 09:07,1192.66,Travel,51,South,0
9,24-01-2026 12:50,4955.72,Fuel,28,West,0
10,07-02-2026 16:14,3901.84,Travel,71,South,0
11,20-01-2026 06:28,4431.48,Clothing,66,East,0
12,20-12-2025 03:14,4148.23,Clothing,78,North,0
13,12-02-2026 11:30,4768.74,Fuel,54,West,0
14,04-02-2026 15:18,2455.04,Travel,66,West,0
15,17-01-2026 12:58,3850.26,Travel,18,North,0
16,29-12-2025 05:51,3383.29,Food,54,West,0
17,09-01-2026 20:36,3660.46,Electronics,63,East,0
18,10-02-2026 08:20,743.56,Food,25,East,1
19,25-12-2025 16:00,1253.99,Grocery,52,South,0
20,26-01-2026 07:26,3989.09,Electronics,21,North,0
21,23-12-2025 23:33,3329.76,Travel,21,South,0
22,09-02-2026 05:27,4162.75,Fuel,22,North,0
23,05-02-2026 12:56,2195.78,Fuel,21,South,0
24,08-02-2026 17:52,3430.94,Travel,60,South,0
25,31-01-2026 18:18,193.95,Electronics,36,West,0
26,05-01-2026 20:39,1749.93,Electronics,53,West,0
27,21-01-2026 14:20,3141.6,Travel,31,North,0
28,04-01-2026 03:48,2551.98,Clothing,70,East,0
29,01-01-2026 01:00,4491.67,Food,67,East,0
30,14-12-2025 20:42,1072.19,Clothing,19,West,0
31,15-01-2026 15:16,402.15,Food,69,West,1
32,17-12-2025 10:20,808.13,Electronics,26,North,1
33,22-01-2026 17:34,2206.09,Clothing,74,North,0
34,01-02-2026 17:52,3023.92,Clothing,27,North,0
35,13-01-2026 21:42,4862.84,Fuel,40,North,0
36,24-12-2025 09:06,1408.6,Grocery,20,North,0
37,19-01-2026 14:56,1192.41,Travel,26,North,0
38,06-01-2026 00:40,2159.96,Fuel,78,West,0
39,11-02-2026 17:05,475.47,Grocery,34,North,0
40,03-02-2026 08:20,4795.99,Clothing,31,North,0
41,26-01-2026 21:54,3079.05,Food,70,East,0
42,22-12-2025 04:58,3652.54,Travel,24,West,0
43,01-01-2026 05:50,300.75,Grocery,23,East,0
44,04-01-2026 03:02,2822.05,Travel,79,South,0
45,10-02-2026 18:55,4583.18,Electronics,55,West,0
46,23-12-2025 11:05,1285.16,Grocery,61,West,0
47,16-01-2026 10:18,574.3,Clothing,73,West,0
48,16-01-2026 17:59,4464.38,Food,28,East,0
49,25-01-2026 00:24,4710.59,Food,76,East,0
50,27-01-2026 11:50,1946.49,Fuel,61,East,0
51,30-12-2025 22:56,3592.6,Electronics,34,North,0
52,16-01-2026 03:15,4226.55,Fuel,65,East,0
53,05-01-2026 01:18,1107.45,Food,62,North,0
54,12-01-2026 16:58,1303.01,Grocery,23,South,0
55,17-01-2026 16:04,1564.13,Grocery,36,East,0
56,27-12-2025 20:23,3235.68,Grocery,57,South,0
57,25-01-2026 09:40,793.59,Travel,69,West,0
58,31-01-2026 11:28,3728.43,Clothing,69,South,0
59,19-12-2025 14:23,1904.35,Electronics,55,West,0
60,14-01-2026 03:43,1012.26,Food,30,South,0
61,19-12-2025 04:58,1394.81,Clothing,55,North,0
62,14-12-2025 07:59,3409.05,Clothing,72,West,0
63,11-01-2026 20:14,4839.58,Fuel,60,South,0
64,16-12-2025 20:16,333.12,Food,67,East,0
65,23-01-2026 03:13,107.2,Clothing,31,South,0
66,27-01-2026 20:09,14.85,Grocery,78,North,0
67,20-12-2025 18:07,3883.62,Grocery,24,East,0
68,11-01-2026 19:01,2850.89,Travel,43,West,0
69,10-01-2026 11:35,4636.09,Food,42,North,0
70,15-12-2025 02:33,4592.2,Electronics,21,West,0
71,03-02-2026 23:59,3753.99,Electronics,75,West,0
72,20-12-2025 10:16,1894.85,Grocery,44,West,0
73,09-01-2026 10:34,3696.11,Food,40,West,0
74,18-12-2025 21:11,2208.88,Food,72,East,0
75,17-12-2025 15:19,3531.66,Food,77,West,0
76,18-01-2026 04:30,1425.39,Clothing,65,South,0
77,27-01-2026 04:34,3817.53,Fuel,37,South,0
78,09-02-2026 10:29,3547.66,Fuel,40,West,1
79,26-01-2026 20:34,4873.77,Grocery,29,West,0
80,30-01-2026 14:11,1790.61,Travel,56,South,0
81,01-01-2026 23:48,4156.36,Food,51,South,1
82,15-01-2026 00:55,3758.82,Grocery,26,South,0
83,31-01-2026 15:10,4999.67,Electronics,45,South,0
84,12-01-2026 02:48,2022.72,Grocery,27,West,0
85,24-12-2025 01:41,3995.72,Fuel,26,East,0
86,06-01-2026 15:15,2763.9,Clothing,43,South,0
87,05-01-2026 16:34,1878.29,Fuel,77,North,0
88,08-02-2026 22:10,3505.94,Food,30,West,0
89,14-01-2026 01:30,992.89,Grocery,57,West,0
90,29-01-2026 20:54,346.83,Food,56,South,1
91,06-02-2026 12:40,1010.01,Fuel,75,South,0
92,25-01-2026 00:21,446.71,Grocery,45,South,0
93,19-01-2026 00:37,2602.65,Food,35,East,0
94,22-01-2026 14:38,3278.67,Clothing,39,West,0
95,29-12-2025 07:54,4157.45,Fuel,47,South,0
96,21-01-2026 04:56,1220.93,Food,67,West,0
97,18-01-2026 19:06,1346.66,Food,45,East,0
98,17-12-2025 12:41,995.07,Clothing,26,South,0
99,27-12-2025 07:44,4398.89,Grocery,23,South,0
100,27-01-2026 08:54,3958.59,Clothing,48,South,0
101,21-01-2026 15:27,4560.79,Food,57,West,0
102,02-01-2026 16:31,2343.99,Clothing,27,West,1
103,26-12-2025 00:57,3424.79,Grocery,48,South,0
104,09-01-2026 02:46,2820.08,Travel,63,South,0
105,23-12-2025 21:47,342.23,Clothing,65,West,0
106,24-12-2025 23:15,2253.88,Fuel,46,North,0
107,23-01-2026 07:05,4021.35,Travel,68,South,0
108,10-01-2026 10:17,3496.06,Electronics,67,South,0
109,16-12-2025 07:54,4003.15,Food,58,East,0
110,21-12-2025 15:31,902.27,Clothing,66,East,0
111,14-12-2025 05:33,261.87,Clothing,66,West,0
112,08-02-2026 05:08,2653.46,Food,47,North,0
113,28-12-2025 04:23,609.2,Travel,42,North,0
114,08-02-2026 06:31,3247.56,Electronics,45,North,0
115,05-02-2026 02:52,1689.97,Electronics,48,East,0
116,28-12-2025 09:52,1454.21,Grocery,69,East,0
117,28-12-2025 20:54,4036.27,Electronics,61,West,0
118,07-01-2026 01:08,741.32,Clothing,45,East,0
119,17-12-2025 13:01,2953.68,Grocery,33,West,0
120,10-01-2026 04:17,1801.54,Clothing,64,South,0
121,28-01-2026 11:46,1340.83,Food,48,East,0
122,03-02-2026 22:55,2422.18,Clothing,24,South,0
123,13-01-2026 15:09,1013.27,Fuel,21,East,0
124,03-02-2026 11:25,2646.03,Clothing,75,East,0
125,21-12-2025 08:10,4067.45,Fuel,30,East,0
126,20-12-2025 07:26,4068.28,Travel,42,East,0
127,19-01-2026 21:53,1208.35,Grocery,56,East,0
128,03-02-2026 15:39,4742.67,Clothing,18,South,0
129,21-01-2026 09:48,1849.75,Travel,20,East,1
130,18-12-2025 13:23,926.81,Clothing,54,East,1
131,27-01-2026 11:36,3899.62,Fuel,51,West,0
132,28-01-2026 06:15,198.2,Travel,35,East,1
133,04-02-2026 11:42,4176.19,Fuel,64,South,0
134,13-02-2026 00:04,2856.63,Fuel,76,West,0
135,08-01-2026 13:48,866.51,Grocery,62,South,1
136,07-01-2026 01:46,4586.79,Clothing,57,North,0
137,06-02-2026 13:03,3291.8,Electronics,62,South,1
138,13-02-2026 01:25,2890.64,Grocery,29,East,0
139,30-12-2025 17:31,2156.14,Grocery,75,North,0
140,15-12-2025 17:43,1814.3,Travel,37,South,0
141,07-02-2026 05:37,1510.85,Fuel,46,West,0
142,29-01-2026 05:58,2421.34,Food,68,West,0
143,23-01-2026 13:10,2128.12,Food,59,South,0
144,20-12-2025 18:23,3477.51,Clothing,68,North,0
145,03-02-2026 20:33,4058.74,Travel,43,East,0
146,28-12-2025 02:33,3185.83,Food,42,East,0
147,29-01-2026 21:11,1357.19,Clothing,37,East,0
